[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,initial-population,[step],avg-gini,starvation
1,0,0,color-agents-by-decile,400,0,0,0
2,0,10,color-agents-by-decile,400,0,0,0
3,0,20,color-agents-by-decile,400,0,0,0
4,0,30,color-agents-by-decile,400,0,0,0
5,0,40,color-agents-by-decile,400,0,0,0
6,0,50,color-agents-by-decile,400,0,0,0
7,0,60,color-agents-by-decile,400,0,0,0
8,0,70,color-agents-by-decile,400,0,0,0
9,0,80,color-agents-by-decile,400,0,0,0
10,0,90,color-agents-by-decile,400,0,0,0
11,0,100,color-agents-by-decile,400,0,0,0
12,0,110,color-agents-by-decile,400,0,0,0
13,0,120,color-agents-by-decile,400,0,0,0
14,0,130,color-agents-by-decile,400,0,0,0
15,0,140,color-agents-by-decile,400,0,0,0
16,0,150,color-agents-by-decile,400,0,0,0
17,0,160,color-agents-by-decile,400,0,0,0
18,0,170,color-agents-by-decile,400,0,0,0
19,0,180,color-agents-by-decile,400,0,0,0
20,0,190,color-agents-by-decile,400,0,0,0
21,0,200,color-agents-by-decile,400,0,0,0
22,10,0,color-agents-by-decile,400,1000,0.503032637718313,6253
23,10,10,color-agents-by-decile,400,0,0,0
24,10,20,color-agents-by-decile,400,0,0,0
25,10,30,color-agents-by-decile,400,0,0,0
26,10,40,color-agents-by-decile,400,0,0,0
27,10,50,color-agents-by-decile,400,0,0,0
28,10,60,color-agents-by-decile,400,0,0,0
29,10,70,color-agents-by-decile,400,0,0,0
30,10,80,color-agents-by-decile,400,0,0,0
31,10,90,color-agents-by-decile,400,0,0,0
32,10,100,color-agents-by-decile,400,0,0,0
33,10,110,color-agents-by-decile,400,0,0,0
34,10,120,color-agents-by-decile,400,0,0,0
35,10,130,color-agents-by-decile,400,0,0,0
36,10,140,color-agents-by-decile,400,0,0,0
37,10,150,color-agents-by-decile,400,0,0,0
38,10,160,color-agents-by-decile,400,0,0,0
39,10,170,color-agents-by-decile,400,0,0,0
40,10,180,color-agents-by-decile,400,0,0,0
41,10,190,color-agents-by-decile,400,0,0,0
42,10,200,color-agents-by-decile,400,0,0,0
43,20,0,color-agents-by-decile,400,1000,0.492500728426792,5426
44,20,10,color-agents-by-decile,400,1000,0.463635561639349,4651
45,20,20,color-agents-by-decile,400,0,0.503032637718313,6253
46,20,30,color-agents-by-decile,400,0,0.503032637718313,6253
47,20,40,color-agents-by-decile,400,0,0.503032637718313,6253
48,20,50,color-agents-by-decile,400,0,0.503032637718313,6253
49,20,60,color-agents-by-decile,400,0,0.503032637718313,6253
50,20,70,color-agents-by-decile,400,0,0.503032637718313,6253
51,20,80,color-agents-by-decile,400,0,0.503032637718313,6253
52,20,90,color-agents-by-decile,400,0,0.503032637718313,6253
53,20,100,color-agents-by-decile,400,0,0.503032637718313,6253
54,20,110,color-agents-by-decile,400,0,0.503032637718313,6253
55,20,120,color-agents-by-decile,400,0,0.503032637718313,6253
56,20,130,color-agents-by-decile,400,0,0.503032637718313,6253
57,20,140,color-agents-by-decile,400,0,0.503032637718313,6253
58,20,150,color-agents-by-decile,400,0,0.503032637718313,6253
59,20,160,color-agents-by-decile,400,0,0.503032637718313,6253
60,20,170,color-agents-by-decile,400,0,0.503032637718313,6253
61,20,180,color-agents-by-decile,400,0,0.503032637718313,6253
62,20,190,color-agents-by-decile,400,0,0.503032637718313,6253
63,20,200,color-agents-by-decile,400,0,0.503032637718313,6253
64,30,0,color-agents-by-decile,400,1000,0.46462280462532,4949
65,30,10,color-agents-by-decile,400,1000,0.450501916135996,4096
66,30,20,color-agents-by-decile,400,1000,0.438988172443726,3696
67,30,30,color-agents-by-decile,400,0,0.450501916135996,4096
68,30,40,color-agents-by-decile,400,0,0.450501916135996,4096
69,30,50,color-agents-by-decile,400,0,0.450501916135996,4096
70,30,60,color-agents-by-decile,400,0,0.450501916135996,4096
71,30,70,color-agents-by-decile,400,0,0.450501916135996,4096
72,30,80,color-agents-by-decile,400,0,0.438988172443726,3696
